nama_channel,kategori,judul,judul_clean,judul_lower,judul_tokenized
@MILYHYA,Gaming,"CS:GO Indonesia - ""MiawAug Team Kill, Jeritan Milyhya, RIP AIM"" w/ Friends","CS:GO Indonesia - ""MiawAug Team Kill, Jeritan Milyhya, RIP AIM"" w/ Friends","cs:go indonesia - ""miawaug team kill, jeritan milyhya, rip aim"" w/ friends","cs:go indonesia - "" miawaug team kill , jeritan milyhya , rip aim "" w/ friends"
@MILYHYA,Gaming,"Garry's Mod Indonesia - ""Ngajarin Riltz Main Gmod Horror"" w/ Riltz","Garry's Mod Indonesia - ""Ngajarin Riltz Main Gmod Horror"" w/ Riltz","garry's mod indonesia - ""ngajarin riltz main gmod horror"" w/ riltz","garry's mod indonesia - "" ngajarin riltz main gmod horror "" w/ riltz"
@MILYHYA,Gaming,"Portal 2 Coop Indonesia - ""Tutorial Sengit"" w/ Madelta","Portal 2 Coop Indonesia - ""Tutorial Sengit"" w/ Madelta","portal 2 coop indonesia - ""tutorial sengit"" w/ madelta","portal 2 coop indonesia - "" tutorial sengit "" w/ madelta"
@MILYHYA,Gaming,"Resident Evil Revelations Indonesia - ""Raid Mode"" w/ Antara","Resident Evil Revelations Indonesia - ""Raid Mode"" w/ Antara","resident evil revelations indonesia - ""raid mode"" w/ antara","resident evil revelations indonesia - "" raid mode "" w/ antara"
@MILYHYA,Gaming,"Garry's Mod Indonesia - ""Penakut Ketemu Penakut"" w/ Antoni","Garry's Mod Indonesia - ""Penakut Ketemu Penakut"" w/ Antoni","garry's mod indonesia - ""penakut ketemu penakut"" w/ antoni","garry's mod indonesia - "" penakut ketemu penakut "" w/ antoni"
@MILYHYA,Gaming,"CS:GO Indonesia - ""Asal Main, yang Penting Fun"" w/ Friends","CS:GO Indonesia - ""Asal Main, yang Penting Fun"" w/ Friends","cs:go indonesia - ""asal main, yang penting fun"" w/ friends","cs:go indonesia - "" asal main , yang penting fun "" w/ friends"
@MILYHYA,Gaming,"FIFA Online 3 - ""1v1 Challenge"" w/ Antara","FIFA Online 3 - ""1v1 Challenge"" w/ Antara","fifa online 3 - ""1v1 challenge"" w/ antara","fifa online 3 - "" 1v1 challenge "" w/ antara"
@MILYHYA,Gaming,"CS:GO Indonesia - ""mg_mario_party"" w/ Friends","CS:GO Indonesia - ""mg_mario_party"" w/ Friends","cs:go indonesia - ""mg_mario_party"" w/ friends","cs: go indonesia - "" mg_mario_party "" w/ friends"
@MILYHYA,Gaming,"Closers Online Indonesia - ""Cuma Test Main"" w/ Antara","Closers Online Indonesia - ""Cuma Test Main"" w/ Antara","closers online indonesia - ""cuma test main"" w/ antara","closers online indonesia - "" cuma test main "" w/ antara"
@AfifYulistian,Gaming,ITEM BARU PERUSAK PERTEMANAN !!! - Side Effect Indonesia Part 2,ITEM BARU PERUSAK PERTEMANAN !!! - Side Effect Indonesia Part 2,item baru perusak pertemanan !!! - side effect indonesia part 2,item baru perusak pertemanan ! ! ! - side effect indonesia part 2
@AfifYulistian,Gaming,PERKARA MAU TAMAT OBROLAN MULAI NGACO !!! - Power Wash Simulator Part 13,PERKARA MAU TAMAT OBROLAN MULAI NGACO !!! - Power Wash Simulator Part 13,perkara mau tamat obrolan mulai ngaco !!! - power wash simulator part 13,perkara mau tamat obrolan mulai ngaco ! ! ! - power wash simulator part 13
@AfifYulistian,Gaming,SEMPROT-SEMPROT SAMBIL CURHAT !!! - Power Wash Simulator Part 12,SEMPROT-SEMPROT SAMBIL CURHAT !!! - Power Wash Simulator Part 12,semprot-semprot sambil curhat !!! - power wash simulator part 12,semprot-semprot sambil curhat ! ! ! - power wash simulator part 12
@AfifYulistian,Gaming,OBROLAN BAPAK BAPAK!! - POWERWASH PART 11,OBROLAN BAPAK BAPAK!! - POWERWASH PART 11,obrolan bapak bapak!! - powerwash part 11,obrolan bapak bapak ! ! - powerwash part 11
@AfifYulistian,Gaming,JANGAN SALAH PILIH OBAT !!! - Side Effect Indonesia Part 1,JANGAN SALAH PILIH OBAT !!! - Side Effect Indonesia Part 1,jangan salah pilih obat !!! - side effect indonesia part 1,jangan salah pilih obat ! ! ! - side effect indonesia part 1
@AfifYulistian,Gaming,ENDINGNYA SANGAT TIDAK TERDUGA !!! - Cursed Companions Indonesia Part 6,ENDINGNYA SANGAT TIDAK TERDUGA !!! - Cursed Companions Indonesia Part 6,endingnya sangat tidak terduga !!! - cursed companions indonesia part 6,endingnya sangat tidak terduga ! ! ! - cursed companions indonesia part 6
@AfifYulistian,Gaming,SUDAH MULAI MUAK!!! - POWER WASH PART 10,SUDAH MULAI MUAK!!! - POWER WASH PART 10,sudah mulai muak!!! - power wash part 10,sudah mulai muak ! ! ! - power wash part 10
@AfifYulistian,Gaming,Power Wash Simulator Part 3,Power Wash Simulator Part 3,power wash simulator part 3,power wash simulator part 3
@AfifYulistian,Gaming,"AWALAN YANG MULUS, TAPI.... - Cursed Companions Indonesia Part 5","AWALAN YANG MULUS, TAPI.... - Cursed Companions Indonesia Part 5","awalan yang mulus, tapi.... - cursed companions indonesia part 5","awalan yang mulus , tapi . ... - cursed companions indonesia part 5"
@AfifYulistian,Gaming,PowerWashPart2,PowerWashPart2,powerwashpart2,powerwashpart2
@AfifYulistian,Gaming,KALI INI SAATNYA MELAWAN BOSS !!! - Cursed Companions Indonesia Part 4,KALI INI SAATNYA MELAWAN BOSS !!! - Cursed Companions Indonesia Part 4,kali ini saatnya melawan boss !!! - cursed companions indonesia part 4,kali ini saatnya melawan boss ! ! ! - cursed companions indonesia part 4
@AfifYulistian,Gaming,HATI-HATI BUAT YANG LAGI MAKAN !!! - Power Wash Simulator Part 9,HATI-HATI BUAT YANG LAGI MAKAN !!! - Power Wash Simulator Part 9,hati-hati buat yang lagi makan !!! - power wash simulator part 9,hati-hati buat yang lagi makan ! ! ! - power wash simulator part 9
@AfifYulistian,Gaming,Dolls of The Dead Part 5,Dolls of The Dead Part 5,dolls of the dead part 5,dolls of the dead part 5
@AfifYulistian,Gaming,PowerWashPart1,PowerWashPart1,powerwashpart1,powerwashpart1
@AfifYulistian,Gaming,Doll House of Dead Part 4,Doll House of Dead Part 4,doll house of dead part 4,doll house of dead part 4
@AfifYulistian,Gaming,PILIH YANG LEBIH REALISTIS !!! - Power Wash Simulator Part 8,PILIH YANG LEBIH REALISTIS !!! - Power Wash Simulator Part 8,pilih yang lebih realistis !!! - power wash simulator part 8,pilih yang lebih realistis ! ! ! - power wash simulator part 8
@AfifYulistian,Gaming,KEMBALI MENJADI TUKANG LAGI - HOUSE FLIPPER 2,KEMBALI MENJADI TUKANG LAGI - HOUSE FLIPPER 2,kembali menjadi tukang lagi - house flipper 2,kembali menjadi tukang lagi - house flipper 2
@AfifYulistian,Gaming,BERSIHIN RUMAH KULTUS !!! - Power Wash Simulator Part 7,BERSIHIN RUMAH KULTUS !!! - Power Wash Simulator Part 7,bersihin rumah kultus !!! - power wash simulator part 7,bersihin rumah kultus ! ! ! - power wash simulator part 7
@AfifYulistian,Gaming,Dolls House of Dead Part 3,Dolls House of Dead Part 3,dolls house of dead part 3,dolls house of dead part 3
@AfifYulistian,Gaming,SKIN LORD OF MYSTERIES GRATIS DI HOK !,SKIN LORD OF MYSTERIES GRATIS DI HOK !,skin lord of mysteries gratis di hok !,skin lord of mysteries gratis di hok !
@AfifYulistian,Gaming,Dolls House of Dead Part 2,Dolls House of Dead Part 2,dolls house of dead part 2,dolls house of dead part 2
@AfifYulistian,Gaming,"Korea Day 4 , Capek Tapi Happy ! - #PipVlog 58","Korea Day 4 , Capek Tapi Happy ! - #PipVlog 58","korea day 4 , capek tapi happy ! - #pipvlog 58","korea day 4 , capek tapi happy ! - # pipvlog 58"
@AfifYulistian,Gaming,PODCAST INI MAH - Power Wash Simulator Part 5,PODCAST INI MAH - Power Wash Simulator Part 5,podcast ini mah - power wash simulator part 5,podcast ini mah - power wash simulator part 5
@AfifYulistian,Gaming,LAST EPISODE SIDE EFFECT !,LAST EPISODE SIDE EFFECT !,last episode side effect !,last episode side effect !
@AfifYulistian,Gaming,GAJI GEDE KERJAANNYA PASTI REPOT !!! - Power Wash Simulator Part 6,GAJI GEDE KERJAANNYA PASTI REPOT !!! - Power Wash Simulator Part 6,gaji gede kerjaannya pasti repot !!! - power wash simulator part 6,gaji gede kerjaannya pasti repot ! ! ! - power wash simulator part 6
@AfifYulistian,Gaming,HORROR BONEKA LAGI - Dolls House Of Dead Part 1,HORROR BONEKA LAGI - Dolls House Of Dead Part 1,horror boneka lagi - dolls house of dead part 1,horror boneka lagi - dolls house of dead part 1
@AfifYulistian,Gaming,GAMBAR ANEH TAPI JAWABANNYA BENER - DRAW AND GUESS PART 1,GAMBAR ANEH TAPI JAWABANNYA BENER - DRAW AND GUESS PART 1,gambar aneh tapi jawabannya bener - draw and guess part 1,gambar aneh tapi jawabannya bener - draw and guess part 1
@AfifYulistian,Gaming,HERO BARU YANG GAMEPLAYNYA BRUTAL!!! - Honor of Kings Indonesia,HERO BARU YANG GAMEPLAYNYA BRUTAL!!! - Honor of Kings Indonesia,hero baru yang gameplaynya brutal!!! - honor of kings indonesia,hero baru yang gameplaynya brutal ! ! ! - honor of kings indonesia
@AfifYulistian,Gaming,KITA CARI SIAPA PENGHIANATNYA !!! - Escape Simulator 2 Indonesia Part 9,KITA CARI SIAPA PENGHIANATNYA !!! - Escape Simulator 2 Indonesia Part 9,kita cari siapa penghianatnya !!! - escape simulator 2 indonesia part 9,kita cari siapa penghianatnya ! ! ! - escape simulator 2 indonesia part 9
@AfifYulistian,Gaming,NYEMPROTIN AER KE POM BENSIN APA BENSINNYA JADI OPLOSAN?! - Power Wash Simulator Part 4,NYEMPROTIN AER KE POM BENSIN APA BENSINNYA JADI OPLOSAN?! - Power Wash Simulator Part 4,nyemprotin aer ke pom bensin apa bensinnya jadi oplosan?! - power wash simulator part 4,nyemprotin aer ke pom bensin apa bensinnya jadi oplosan ? ! - power wash simulator part 4
@AfifYulistian,Gaming,LAGI PUSING MALAH DISERANG KRAKEN !!! - Escape Simulator 2 Indonesia Part 8,LAGI PUSING MALAH DISERANG KRAKEN !!! - Escape Simulator 2 Indonesia Part 8,lagi pusing malah diserang kraken !!! - escape simulator 2 indonesia part 8,lagi pusing malah diserang kraken ! ! ! - escape simulator 2 indonesia part 8
@AfifYulistian,Gaming,ADA AJA KELAKUAN TEMEN GUA !!! - Human Fall Flat Indonesia Part 16,ADA AJA KELAKUAN TEMEN GUA !!! - Human Fall Flat Indonesia Part 16,ada aja kelakuan temen gua !!! - human fall flat indonesia part 16,ada aja kelakuan temen gua ! ! ! - human fall flat indonesia part 16
@AfifYulistian,Gaming,BERESIN PUZZLE BUAT DAPET HARTA KARUN !!! - Escape Simulator 2 Indonesia Part 7,BERESIN PUZZLE BUAT DAPET HARTA KARUN !!! - Escape Simulator 2 Indonesia Part 7,beresin puzzle buat dapet harta karun !!! - escape simulator 2 indonesia part 7,beresin puzzle buat dapet harta karun ! ! ! - escape simulator 2 indonesia part 7
@AfifYulistian,Gaming,GAME LUCU-LUCUAN MALAH JADI MIKIR !!! - Human Fall Flat Indonesia Part 15,GAME LUCU-LUCUAN MALAH JADI MIKIR !!! - Human Fall Flat Indonesia Part 15,game lucu-lucuan malah jadi mikir !!! - human fall flat indonesia part 15,game lucu-lucuan malah jadi mikir ! ! ! - human fall flat indonesia part 15
@AfifYulistian,Gaming,MEMECAHKAN TEKA TEKI ALIEN !!! - Escape Simulator 2 Indonesia Part 6,MEMECAHKAN TEKA TEKI ALIEN !!! - Escape Simulator 2 Indonesia Part 6,memecahkan teka teki alien !!! - escape simulator 2 indonesia part 6,memecahkan teka teki alien ! ! ! - escape simulator 2 indonesia part 6
@AfifYulistian,Gaming,KERJASAMA BIAR GAK PUSING !!! - Human Fall Flat Indonesia Part 14,KERJASAMA BIAR GAK PUSING !!! - Human Fall Flat Indonesia Part 14,kerjasama biar gak pusing !!! - human fall flat indonesia part 14,kerjasama biar gak pusing ! ! ! - human fall flat indonesia part 14
@AfifYulistian,Gaming,ANGKAT PIALA BARENG Zhanq @Miawaug @Epun7,ANGKAT PIALA BARENG Zhanq @Miawaug @Epun7,angkat piala bareng zhanq @miawaug @epun7,angkat piala bareng zhanq @miawaug @epun7
@AfifYulistian,Gaming,MULAI ADA HAWA-HAWA PUSING NIH !!! - Escape Simulator 2 Indonesia Part 5,MULAI ADA HAWA-HAWA PUSING NIH !!! - Escape Simulator 2 Indonesia Part 5,mulai ada hawa-hawa pusing nih !!! - escape simulator 2 indonesia part 5,mulai ada hawa-hawa pusing nih ! ! ! - escape simulator 2 indonesia part 5
@AfifYulistian,Gaming,HARI PERTAMA MENJADI GOBLIN PIT OF GOBLIN PART 1,HARI PERTAMA MENJADI GOBLIN PIT OF GOBLIN PART 1,hari pertama menjadi goblin pit of goblin part 1,hari pertama menjadi goblin pit of goblin part 1
@AfifYulistian,Gaming,SKILL S1 GUA DIUJI DISINI !!! - Escape Simulator 2 Indonesia Part 4,SKILL S1 GUA DIUJI DISINI !!! - Escape Simulator 2 Indonesia Part 4,skill s1 gua diuji disini !!! - escape simulator 2 indonesia part 4,skill s1 gua diuji disini ! ! ! - escape simulator 2 indonesia part 4
@AfifYulistian,Gaming,Photoshot Di Korea - #pipvlog 57,Photoshot Di Korea - #pipvlog 57,photoshot di korea - #pipvlog 57,photoshot di korea - # pipvlog 57
@AfifYulistian,Gaming,NGANTER PIZZA SAMBIL DIKEJAR HANTU !!! - Pizza Deathlivery Indonesia,NGANTER PIZZA SAMBIL DIKEJAR HANTU !!! - Pizza Deathlivery Indonesia,nganter pizza sambil dikejar hantu !!! - pizza deathlivery indonesia,nganter pizza sambil dikejar hantu ! ! ! - pizza deathlivery indonesia
@AfifYulistian,Gaming,TERLALU MUDAH KITA GAS 2 STAGE !!! - Escape Simulator 2 Indonesia Part 3,TERLALU MUDAH KITA GAS 2 STAGE !!! - Escape Simulator 2 Indonesia Part 3,terlalu mudah kita gas 2 stage !!! - escape simulator 2 indonesia part 3,terlalu mudah kita gas 2 stage ! ! ! - escape simulator 2 indonesia part 3
@AfifYulistian,Gaming,EAZY BANGET PUZZLE YG INI !!! - Escape Simulator 2 Indonesia Part 2,EAZY BANGET PUZZLE YG INI !!! - Escape Simulator 2 Indonesia Part 2,eazy banget puzzle yg ini !!! - escape simulator 2 indonesia part 2,eazy banget puzzle yg ini ! ! ! - escape simulator 2 indonesia part 2
@AfifYulistian,Gaming,MAP TERAKHIR!! - Deathground Part 3,MAP TERAKHIR!! - Deathground Part 3,map terakhir!! - deathground part 3,map terakhir ! ! - deathground part 3
@AfifYulistian,Gaming,RONDE TERAKHIR MALAH PADA KOMPE !!! - Side Effect Indonesia Part 4,RONDE TERAKHIR MALAH PADA KOMPE !!! - Side Effect Indonesia Part 4,ronde terakhir malah pada kompe !!! - side effect indonesia part 4,ronde terakhir malah pada kompe ! ! ! - side effect indonesia part 4
@AfifYulistian,Gaming,BAPAK-BAPAK DISURUH MIKIR !!! - Escape Simulator 2 Indonesia Part 1,BAPAK-BAPAK DISURUH MIKIR !!! - Escape Simulator 2 Indonesia Part 1,bapak-bapak disuruh mikir !!! - escape simulator 2 indonesia part 1,bapak-bapak disuruh mikir ! ! ! - escape simulator 2 indonesia part 1
@AfifYulistian,Gaming,GUA SERIUS BUAT SURVIVE !!! - Side Effect Indonesia Part 3,GUA SERIUS BUAT SURVIVE !!! - Side Effect Indonesia Part 3,gua serius buat survive !!! - side effect indonesia part 3,gua serius buat survive ! ! ! - side effect indonesia part 3
@AfifYulistian,Gaming,LAST BOSS NYA TERLALU BESAR !!! - UnderWard Indonesia Part 5,LAST BOSS NYA TERLALU BESAR !!! - UnderWard Indonesia Part 5,last boss nya terlalu besar !!! - underward indonesia part 5,last boss nya terlalu besar ! ! ! - underward indonesia part 5
@AfifYulistian,Gaming,BERKEBUN DIKERJAR DINOSAURUS! Deathground Part 2,BERKEBUN DIKERJAR DINOSAURUS! Deathground Part 2,berkebun dikerjar dinosaurus! deathground part 2,berkebun dikerjar dinosaurus ! deathground part 2
@AfifYulistian,Gaming,KALI INI KITA ADA PROGRESS !!! - UnderWard Indonesia Part 4,KALI INI KITA ADA PROGRESS !!! - UnderWard Indonesia Part 4,kali ini kita ada progress !!! - underward indonesia part 4,kali ini kita ada progress ! ! ! - underward indonesia part 4
@AfifYulistian,Gaming,Deathground Part 1,Deathground Part 1,deathground part 1,deathground part 1
@AfifYulistian,Gaming,KENA KARMA KARNA CENGCENGIN TEMEN !!! - UnderWard Indonesia Part 3,KENA KARMA KARNA CENGCENGIN TEMEN !!! - UnderWard Indonesia Part 3,kena karma karna cengcengin temen !!! - underward indonesia part 3,kena karma karna cengcengin temen ! ! ! - underward indonesia part 3
@AfifYulistian,Gaming,BERBURU MONSTER TANPA TUTORIAL !!! - Walker Indonesia,BERBURU MONSTER TANPA TUTORIAL !!! - Walker Indonesia,berburu monster tanpa tutorial !!! - walker indonesia,berburu monster tanpa tutorial ! ! ! - walker indonesia
@AfifYulistian,Gaming,Misteri rumah pak RT,Misteri rumah pak RT,misteri rumah pak rt,misteri rumah pak rt
@AfifYulistian,Gaming,DIGOCEK AI KITA GES !!! - Mimesis Indonesia Part 3,DIGOCEK AI KITA GES !!! - Mimesis Indonesia Part 3,digocek ai kita ges !!! - mimesis indonesia part 3,digocek ai kita ges ! ! ! - mimesis indonesia part 3
@AfifYulistian,Gaming,Nyobain Hanbok Di Korea - #pipvlog 56,Nyobain Hanbok Di Korea - #pipvlog 56,nyobain hanbok di korea - #pipvlog 56,nyobain hanbok di korea - # pipvlog 56
@AfifYulistian,Gaming,GAK DIBOLEHIN PULANG SAMA BIGFOOT !!! - Mimesis Indonesia Part 2,GAK DIBOLEHIN PULANG SAMA BIGFOOT !!! - Mimesis Indonesia Part 2,gak dibolehin pulang sama bigfoot !!! - mimesis indonesia part 2,gak dibolehin pulang sama bigfoot ! ! ! - mimesis indonesia part 2
@AfifYulistian,Gaming,GAME INI BIKIN TRUST ISSUE SAMA TEMEN !!! - Mimesis Indonesia Part 1,GAME INI BIKIN TRUST ISSUE SAMA TEMEN !!! - Mimesis Indonesia Part 1,game ini bikin trust issue sama temen !!! - mimesis indonesia part 1,game ini bikin trust issue sama temen ! ! ! - mimesis indonesia part 1
@AfifYulistian,Gaming,MENYELESAIKAN MISI PEMUSNAHAN SPECIMENT !!! - Species Unknown Indonesia Part 3,MENYELESAIKAN MISI PEMUSNAHAN SPECIMENT !!! - Species Unknown Indonesia Part 3,menyelesaikan misi pemusnahan speciment !!! - species unknown indonesia part 3,menyelesaikan misi pemusnahan speciment ! ! ! - species unknown indonesia part 3
@AfifYulistian,Gaming,SEMUA ORANG TERINFEKSI VIRUS !!! - Species Unknown Indonesia Part 2,SEMUA ORANG TERINFEKSI VIRUS !!! - Species Unknown Indonesia Part 2,semua orang terinfeksi virus !!! - species unknown indonesia part 2,semua orang terinfeksi virus ! ! ! - species unknown indonesia part 2
@AfifYulistian,Gaming,GAK NYANGKA BISA SEBAGUS INI !!! - Species Unknown Indonesia Part 1,GAK NYANGKA BISA SEBAGUS INI !!! - Species Unknown Indonesia Part 1,gak nyangka bisa sebagus ini !!! - species unknown indonesia part 1,gak nyangka bisa sebagus ini ! ! ! - species unknown indonesia part 1
@AfifYulistian,Gaming,ELSA SKIN ADA DI HONOR OF KINGS,ELSA SKIN ADA DI HONOR OF KINGS,elsa skin ada di honor of kings,elsa skin ada di honor of kings
@AfifYulistian,Gaming,KEADAAN BISA BERBALIK SECARA INSTAN !!! - Capote Indonesia,KEADAAN BISA BERBALIK SECARA INSTAN !!! - Capote Indonesia,keadaan bisa berbalik secara instan !!! - capote indonesia,keadaan bisa berbalik secara instan ! ! ! - capote indonesia
@AfifYulistian,Gaming,KITA KEMBALI MENUJU ENDING YANG BARU !!! - Escape The Backrooms Indonesia Part 10,KITA KEMBALI MENUJU ENDING YANG BARU !!! - Escape The Backrooms Indonesia Part 10,kita kembali menuju ending yang baru !!! - escape the backrooms indonesia part 10,kita kembali menuju ending yang baru ! ! ! - escape the backrooms indonesia part 10
@AfifYulistian,Gaming,Keliling Korea Day 1 - #Pipvlog 55,Keliling Korea Day 1 - #Pipvlog 55,keliling korea day 1 - #pipvlog 55,keliling korea day 1 - # pipvlog 55
@AfifYulistian,Gaming,TEST BEBERAPA KARAKTER… MANA YANG PALING GG? BLEACH: Soul Resonance,TEST BEBERAPA KARAKTER MANA YANG PALING GG? BLEACH: Soul Resonance,test beberapa karakter mana yang paling gg? bleach: soul resonance,test beberapa karakter mana yang paling gg ? bleach : soul resonance
@AfifYulistian,Gaming,GANTI GAME JADI LEBIH SENGIT KITA !!! - Golf With Your Friend Indonesia,GANTI GAME JADI LEBIH SENGIT KITA !!! - Golf With Your Friend Indonesia,ganti game jadi lebih sengit kita !!! - golf with your friend indonesia,ganti game jadi lebih sengit kita ! ! ! - golf with your friend indonesia
@AfifYulistian,Gaming,MENJADI PRO PLAYER GOLF TIM KACIW !!! - Roblox Indonesia Part 2,MENJADI PRO PLAYER GOLF TIM KACIW !!! - Roblox Indonesia Part 2,menjadi pro player golf tim kaciw !!! - roblox indonesia part 2,menjadi pro player golf tim kaciw ! ! ! - roblox indonesia part 2
@AfifYulistian,Gaming,GAME ANIME BIG THREE AKHIRNYA RILIS - BLEACH: Soul Resonance,GAME ANIME BIG THREE AKHIRNYA RILIS - BLEACH: Soul Resonance,game anime big three akhirnya rilis - bleach: soul resonance,game anime big three akhirnya rilis - bleach : soul resonance
@AfifYulistian,Gaming,WAKTUNYA MAIN GOLF KACIW VS PARTY NERAKA !!! - Roblox Indonesia,WAKTUNYA MAIN GOLF KACIW VS PARTY NERAKA !!! - Roblox Indonesia,waktunya main golf kaciw vs party neraka !!! - roblox indonesia,waktunya main golf kaciw vs party neraka ! ! ! - roblox indonesia
@AfifYulistian,Gaming,KORUPTOR BERKEDOK MALING MAKIN MERESAHKAN !!! - Dark Hours Indonesia Part 7,KORUPTOR BERKEDOK MALING MAKIN MERESAHKAN !!! - Dark Hours Indonesia Part 7,koruptor berkedok maling makin meresahkan !!! - dark hours indonesia part 7,koruptor berkedok maling makin meresahkan ! ! ! - dark hours indonesia part 7
@AfifYulistian,Gaming,DITUDUH KORUP SAMA TEMEN SENDIRI !!! - Dark Hours Indonesia Part 6,DITUDUH KORUP SAMA TEMEN SENDIRI !!! - Dark Hours Indonesia Part 6,dituduh korup sama temen sendiri !!! - dark hours indonesia part 6,dituduh korup sama temen sendiri ! ! ! - dark hours indonesia part 6
@AfifYulistian,Gaming,AUTO TOP RANK KALO PAKE HERO LAPU-LAPU DI HOK ! - Honor Of Kings,AUTO TOP RANK KALO PAKE HERO LAPU-LAPU DI HOK ! - Honor Of Kings,auto top rank kalo pake hero lapu-lapu di hok ! - honor of kings,auto top rank kalo pake hero lapu-lapu di hok ! - honor of kings
@AfifYulistian,Gaming,BABAK PENENTUAN BISAKAH KITA MENANG ??? - Pummel Party Indonesia Part 6,BABAK PENENTUAN BISAKAH KITA MENANG ??? - Pummel Party Indonesia Part 6,babak penentuan bisakah kita menang ??? - pummel party indonesia part 6,babak penentuan bisakah kita menang ? ? ? - pummel party indonesia part 6
@AfifYulistian,Gaming,KALI INI KITA HARUS MENANG !!! - Pummel Party Indonesia Part 5,KALI INI KITA HARUS MENANG !!! - Pummel Party Indonesia Part 5,kali ini kita harus menang !!! - pummel party indonesia part 5,kali ini kita harus menang ! ! ! - pummel party indonesia part 5
@AfifYulistian,Gaming,GELAR JUARA KITA DIREBUT GES !!! - Pummel Party Indonesia Part 4,GELAR JUARA KITA DIREBUT GES !!! - Pummel Party Indonesia Part 4,gelar juara kita direbut ges !!! - pummel party indonesia part 4,gelar juara kita direbut ges ! ! ! - pummel party indonesia part 4
@AfifYulistian,Gaming,MEMPERTAHANKAN GELAR JUARA !!! - Pummel Party Indonesia Part 3,MEMPERTAHANKAN GELAR JUARA !!! - Pummel Party Indonesia Part 3,mempertahankan gelar juara !!! - pummel party indonesia part 3,mempertahankan gelar juara ! ! ! - pummel party indonesia part 3
@AfifYulistian,Gaming,GAME KOCAK TAPI ENDING EPIC !!! - Zort Indonesia Part 5,GAME KOCAK TAPI ENDING EPIC !!! - Zort Indonesia Part 5,game kocak tapi ending epic !!! - zort indonesia part 5,game kocak tapi ending epic ! ! ! - zort indonesia part 5
@AfifYulistian,Gaming,MENJELAJAHI LAUTAN MENCARI LAWAN!! - Zort Indonesia Part 4,MENJELAJAHI LAUTAN MENCARI LAWAN!! - Zort Indonesia Part 4,menjelajahi lautan mencari lawan!! - zort indonesia part 4,menjelajahi lautan mencari lawan ! ! - zort indonesia part 4
@AfifYulistian,Gaming,PERJALANAN KOCAK AKHIRNYA LANJUT !!! - Zort Indonesia Part 3,PERJALANAN KOCAK AKHIRNYA LANJUT !!! - Zort Indonesia Part 3,perjalanan kocak akhirnya lanjut !!! - zort indonesia part 3,perjalanan kocak akhirnya lanjut ! ! ! - zort indonesia part 3
@AfifYulistian,Gaming,PLAYER 300 JAM KALAH SAMA PLAYER HOKI !!! - Pummel Party Indonesia Part 2,PLAYER 300 JAM KALAH SAMA PLAYER HOKI !!! - Pummel Party Indonesia Part 2,player 300 jam kalah sama player hoki !!! - pummel party indonesia part 2,player 300 jam kalah sama player hoki ! ! ! - pummel party indonesia part 2
@AfifYulistian,Gaming,A FIERCE MATCH BETWEEN TEAM KACIW VS PARTY HELL!!! - Pummel Party Indonesia,A FIERCE MATCH BETWEEN TEAM KACIW VS PARTY HELL!!! - Pummel Party Indonesia,a fierce match between team kaciw vs party hell!!! - pummel party indonesia,a fierce match between team kaciw vs party hell ! ! ! - pummel party indonesia
@AfifYulistian,Gaming,NEW UPDATE ON THE CLOWN MONSTER!!! - Devour Indonesia Part 5,NEW UPDATE ON THE CLOWN MONSTER!!! - Devour Indonesia Part 5,new update on the clown monster!!! - devour indonesia part 5,new update on the clown monster ! ! ! - devour indonesia part 5
@AfifYulistian,Gaming,"YOU DRIVE, I'LL SHOW YOU THE DIRECTION!!! - Back Seat Drivers Indonesia","YOU DRIVE, I'LL SHOW YOU THE DIRECTION!!! - Back Seat Drivers Indonesia","you drive, i'll show you the direction!!! - back seat drivers indonesia","you drive , i' ll show you the direction ! ! ! - back seat drivers indonesia"
@AfifYulistian,Gaming,THE CURSE FINALLY ENDS!!! - Cursed Companions Indonesia Part 3,THE CURSE FINALLY ENDS!!! - Cursed Companions Indonesia Part 3,the curse finally ends!!! - cursed companions indonesia part 3,the curse finally ends ! ! ! - cursed companions indonesia part 3
@AfifYulistian,Gaming,"RELIC LESS, DARK QUEEN FREE!!! - Cursed Companions Indonesia Part 2","RELIC LESS, DARK QUEEN FREE!!! - Cursed Companions Indonesia Part 2","relic less, dark queen free!!! - cursed companions indonesia part 2","relic less , dark queen free ! ! ! - cursed companions indonesia part 2"
@AfifYulistian,Gaming,THE REAL DEFINITION OF A CURSED FRIEND!!! - Cursed Companions Indonesia Part 1,THE REAL DEFINITION OF A CURSED FRIEND!!! - Cursed Companions Indonesia Part 1,the real definition of a cursed friend!!! - cursed companions indonesia part 1,the real definition of a cursed friend ! ! ! - cursed companions indonesia part 1
@AfifYulistian,Gaming,GETTING MONEY IN STRANGE PLACES!!! - Chatgrab: Refunded Indonesia,GETTING MONEY IN STRANGE PLACES!!! - Chatgrab: Refunded Indonesia,getting money in strange places!!! - chatgrab: refunded indonesia,getting money in strange places ! ! ! - chatgrab : refunded indonesia
